#LUME VERSION, 0.54
#2848 point's captured data set in LUME at: 1/11/2020 : 4:19:13 pm
frame,x,y,z,int
2091,19068,8076,114.51,1821.7
2092,20113,5233.8,37.894,480.34
2094,18134,9868.5,19.972,6627.9
2096,18103,9874.4,67.238,859.46
2097,19374,7093.3,48.049,2046
2112,19886,5737.1,47.192,1541.9
2121,20192,5224.1,-124.85,1900.1
2121,20181,5231,-56.425,5376.4
2124,20171,5227.6,-25.716,2641.5
2139,18159,9893.1,2.7611,4463.8
2141,19024,8068.7,85.097,1736.2
2141,20240,4664.3,-145.66,3525.1
2142,20225,4688.3,-107.44,2055.9
2143,20662,3670.2,-216.66,1708.1
2147,19648,6305.7,129.96,795.4
2148,19648,6329.8,189.66,2291.8
2162,19215,7511.9,149.14,4040.5
2165,18300,9619.6,31.47,6505.3
2167,20205,5137.7,-66.596,905.8
2168,20046,5303.6,-7.7341,2993.6
2170,20018,5281.3,2.4108,1092.2
2172,20025,5305.9,-44.966,986.87
2174,19953,4757,-131.65,2325.9
2175,19947,4732.1,-109.69,1002.2
2190,20053,5287.4,79.855,10893
2192,19522,6865.9,-6.0412,368.2
2193,20047,5309.6,32.728,3803.9
2210,19911,5513.7,18.195,6465.6
2214,19906,5528.2,64.027,621.86
2222,18020,10283,-104.1,2519.8
2223,18034,10308,-80.543,3879.3
2224,18073,10295,-113.35,2148.8
2224,20343,4394.8,-162.52,817.23
2227,19739,6029.1,84.742,494.67
2228,19749,6014.5,136.64,1073.8
2231,18674,8728.1,30.69,1688
2236,19067,7982.6,64.4,3208.1
2239,19093,7964.7,30.244,463.76
2241,19072,7945.3,73.555,648.35
2242,19071,7981.9,71.917,720.05
2243,19090,7967.8,26.607,681.35
2244,18908,8272.6,115.79,3585.8
2249,19074,7986.9,67.617,3170.2
2250,19086,7971.4,47.138,3085.5
2253,19067,7959.7,80.332,3004.6
2254,19073,7987,74.146,1482.9
2255,19318,7200.7,78.174,1701.2
2256,18082,9927.5,5.251,1324.1
2256,19312,7227.7,151.09,3187.2
2256,19311,7228.4,152.58,3223.7
2257,19327,7197.9,99.953,6932.1
2262,18227,9690.4,24.561,12599
2266,18234,9693.9,11.108,3075.5
2277,18073,10295,-130.92,932.38
2279,19633,6459.5,47.714,543.34
2282,19598,6409.7,84.486,477.9
2283,18080,10303,-143.24,3814.7
2288,18084,10263,-188.27,853.79
2299,18409,9321.8,48.474,503.93
2300,18393,9334.3,25.252,18816
2304,18382,9343.9,14.273,2807.9
2305,19271,7211.2,87.236,2032.9
2305,18398,9338.2,37.59,9609.4
2306,19255,7216.4,54.554,1632.7
2307,19276,7231,63.456,1514.2
2309,18378,9334.7,12.605,7843.1
2321,19634,6402.3,143.77,455.19
2322,19631,6367.2,84.68,1868.2
2323,19620,6392.4,80.279,1957.8
2324,18020,10079,1.2691,1595.7
2324,18718,8748.3,70.916,14138
2325,18026,10059,16.509,13784
2329,18030,10072,17.916,10726
2330,18094,10077,-94.364,6140.1
2337,18574,9135.7,219.34,502.24
2337,20198,4739.3,-25.439,307.35
2406,19504,6689,120.34,2282.9
2418,19754,6075.2,152.88,1942.1
2493,19981,5519.8,2.7624,725.39
2494,19989,5538.3,65.647,7614.7
2504,18108,9997.2,2.913,3260.8
2506,20036,5447.6,37.801,4667.8
2509,20024,5473,18.237,1670.5
2510,20030,5444.4,7.7982,623.92
2519,17985,10648,-60.779,416.63
2533,18172,9868.1,16.671,2517.8
2535,18174,9842.2,78.314,2417.2
2543,19786,6025.7,149.38,1249.9
2544,19805,6053.3,158.14,1398.4
2545,19776,6046.5,108.32,3573.1
2547,19779,6032,141.25,3434.3
2551,19802,6044.6,74.077,1181.4
