#LUME VERSION, 0.54
#663 point's captured data set in LUME at: 1/11/2020 : 4:12:13 pm
x,y,z
10871,14800,-303.54
10950,14264,-306.63
10437,13732,-167.39
10904,14663,-250.6
10896,15004,-293.1
10907,14752,-236.45
10911,14103,-319.2
10887,14773,-285.82
10787,15122,-231.63
10950,14611,-263.98
10675,13900,-316.44
11011,14206,-267.41
11020,14319,-312.97
11005,14507,-381.17
10933,14508,-339.28
10921,14649,-334.85
11009,14346,-301.27
10920,14954,-294.98
10713,15200,-294.4
10885,14527,-347.73
10964,14116,-376.57
10716,13943,-235.67
10993,14575,-358.33
10947,14140,-246.21
10570,13757,-230.9
10970,14119,-306.46
10743,15180,-323.41
10734,15183,-308.11
10931,14572,-330.74
11024,14528,-356.26
10764,13995,-276.49
10933,14516,-365.28
10828,14039,-352.13
10837,14092,-362.92
10732,13922,-306.18
10743,13866,-303.97
10605,13844,-270.7
10795,13986,-285.8
10922,14467,-367.18
10875,15136,-335.27
10951,14093,-347.71
11003,14577,-372.23
10848,14832,-266.38
10892,14753,-191.19
10611,13860,-272.78
10834,14837,-419.15
10829,15114,-302.58
10781,15207,-324.99
10836,14125,-313.11
10628,13843,-273.39
10926,14745,-248.78
10930,14639,-283.9
10930,14936,-367.34
10637,13863,-309.36
10783,13984,-285.35
10816,15053,-277.08
10941,14147,-285.67
10808,15135,-304.7
10845,14984,-383.32
11010,14582,-318.87
10936,14807,-331.56
10810,14976,-299.29
11031,14570,-316.64
10651,13813,-394.85
10955,14133,-298.11
10715,13819,-430.57
10904,14166,-336.57
10509,13639,-241.02
10465,13735,-237.12
10943,14466,-323.28
10945,14383,-328.94
10957,14694,-302.27
11022,14293,-356.34
10872,14889,-321.57
10561,13811,-263.29
10860,14543,-307.71
10874,14068,-326.3
10882,14858,-326.65
10996,14314,-285.28
10961,14429,-385.04
10883,14106,-290.67
11016,14607,-324.65
10964,14525,-318.15
10906,14781,-188.22
10834,15071,-257.36
10980,14279,-217.21
11002,14460,-306.42
10912,14673,-294.45
11050,14826,-474.98
10714,13956,-313.4
10807,14986,-318.97
10822,14993,-310.98
10883,14112,-339.96
10737,15173,-327.85
10898,14840,-289.82
11071,14277,-360.14
11042,14303,-353.71
10828,14890,-116.25
10986,14288,-351.41
10942,14650,-365.73
10824,14985,-328.49
10961,14615,-382.88
11003,14318,-366.29
10970,14125,-279.18
10751,15167,-338.28
10745,15174,-295.33
10607,13798,-200.15
10961,14570,-343.99
11047,14427,-325.25
11015,14570,-337.11
10530,13760,-135.33
