x,y,z
21150,10629,-381.28
22661,11136,-353.96
21487,10707,-387.48
21483,10624,-352.14
23007,10833,97.368
22960,10865,173.57
22982,10834,119.24
22655,10706,8.6913
22068,10910,183.72
22639,11078,143.56
22839,11105,204.41
22589,11165,-181.01
21652,10460,98.139
22227,11041,250.96
22228,11044,205.8
22231,11012,237.13
22210,11044,205.94
21695,10448,-238.3
21132,10192,105.16
21419,10865,-240.25
23114,10969,-304.86
21695,11057,-275.69
22760,11201,197.06
21487,10897,-157.3
22628,11082,-308.77
22635,11130,-336.84
22633,11125,-326.78
22624,11155,-351.67
22177,10570,-8.7629
22003,10986,170.89
24572,10895,-299.22
22949,10933,253.98
22453,10700,-324.31
22431,10708,-320.91
22952,11023,287.05
25585,10476,-287.52
21951,10501,58.298
21812,10447,-329.45
21276,10251,91.764
22868,11051,196.51
25104,10663,-197.09
21696,10450,-226.34
21909,10872,-357.36
21908,10887,-343.58
22383,11205,-306.91
25258,10625,-342.56
21274,10278,93.196
21320,10251,-127.11
21657,10900,-366.65
21603,10901,-320.04
22994,10796,137.3
21687,10938,-289.5
22931,10736,-183.82
21776,11001,-123.78
25102,10761,-354.54
25105,10759,-307.38
22992,10810,-134.56
21210,10509,-415.2
22839,10737,-48.192
22434,10732,-312.73
22450,10731,-311.82
22543,10739,-43.713
22217,10627,57.595
20924,10239,-366.52
21453,10530,-384.02
21340,10404,-368.86
24839,10795,-334.6
22425,10730,-353.41
22614,11025,-412.58
22663,11006,-400.53
22802,10836,-13.266
22618,10992,-333.07
21011,10576,-13.236
22323,10980,-366.07
22326,11011,-333.8
22327,10997,-400.16
22281,11024,-398.71
22396,11001,-398.4
22597,11087,-404.61
22294,11090,-42.459
22217,11245,151.54
21876,10624,315.28
21277,10766,-326.2
22623,11046,-456.48
22476,10942,-386.22
22720,10794,186.92
22686,11221,132.96
22664,11235,-149.01
22733,11119,-338.43
22179,10962,-407.2
24172,11063,-289.26
22652,11188,-256.76
23805,11080,-350.58
23437,10956,-173.81
22414,10622,176.16
21425,10531,-362.53
22495,10795,275.05
23069,10999,205.39
23122,10868,21.538
20941,10348,183.84
22631,10677,-126.81
24520,10844,-249.84
21209,10683,-266.12
21842,10890,202.1
21564,10652,290.81
21769,10615,-140.78
21601,10649,309.67
21600,10649,318.36
22610,10690,-214.67
22003,10675,294.1
21979,10687,270.72
22000,10659,275.16
21999,10649,244.01
22023,10697,253.25
20754,10169,-205.09
21445,10601,324.4
24487,10977,-311.06
23089,10967,-162.89
23064,10825,-242.88
21394,10672,-330.45
24452,11013,-360.01
22552,10889,-440.87
22187,10739,-190.57
21950,10544,-314.14
21905,10521,-238.66
22305,11120,-292.84
22012,11065,-291.63
21985,11075,-172.1
21942,11075,-157.7
22394,11108,13.164
21916,11126,-152.99
21276,10437,-362.19
21749,10443,-244.2
22214,10580,-217.88
22262,10576,-41.683
22346,11015,-373.33
23528,11024,-176.45
22543,10852,-406.49
21592,10386,15.71
20874,10120,-336
21803,10606,-311.66
24335,11058,-257.81
21451,10618,-380.44
20947,10398,-25.605
21604,10843,-297.39
22939,10795,-183.41
22687,10802,167.79
22701,10787,203.75
21379,10766,200.66
21378,10817,129.24
22761,10801,-277.96
20899,10309,68.778
20924,10299,62.733
22161,10831,-429.38
24663,10854,-298.39
22154,10871,-426.96
24783,10855,-282.09
24762,10824,-308.95
22241,10839,-317.25
22706,10677,-389.14
21737,10452,-198.38
20977,10478,-357.96
22877,10874,-93.592
24816,10823,-311.33
22491,10995,286.06
20731,10175,-19.88
22857,10857,-362.34
22868,10845,-314.52
22211,11035,-131.27
24701,10854,-420.62
22842,10842,-338.62
22912,10775,-178.06
21508,10779,-380.69
21541,10784,-337.52
24117,11051,-311
24620,10912,-327.13
24433,10950,-297.49
22821,10857,-362.08
21547,10889,-189.76
21496,10776,-414.99
21495,10698,-324.11
22180,10789,-444.77
22122,10767,-460.15
21051,10475,-395.97
22951,10694,-79.473
22905,10773,49.005
24860,10782,-274.97
21882,10864,-393.12
22106,10718,-444.55
21973,11036,-239.51
22519,10753,233.08
21487,10910,-258.62
21561,10381,-41.65
22013,10758,-417.48
21841,10451,161.36
23908,11026,-492.93
22472,11095,221.28
22498,11110,287.19
22490,11085,220.44
22372,11203,-86.385
21777,10657,-388.26
21891,10753,-401.07
21738,10438,-273.79
23101,11104,-234.86
21850,10438,-58.173
21619,10370,10.987
24797,10849,-301.58
23058,10773,-20.761
21575,10471,-19.437
22360,10919,-409.59
22213,10870,-275.03
25629,10526,-266.27
22267,10785,-362.6
21316,10163,-363.31
22012,10530,53.647
21907,10495,133.12
22699,10700,-319.75
22030,11034,-67.118
21498,10725,-318.09
24558,10891,-335.26
21074,10605,195.45
21100,10603,142.27
21294,10344,268.66
23641,11108,-263.64
24826,10858,-261.19
24773,10845,-293.41
24567,10982,-314.1
24564,10945,-333.39
23067,10987,-308.48
21153,10708,241.12
23119,10970,-299.64
21954,10581,-338.09
24693,10920,-281.78
21265,10216,-189.16
22591,11256,71.323
21368,10773,-225.43
22801,10971,277.15
21446,10501,-344.84
21969,10947,252.34
22383,10731,-341.81
22139,10996,183.85
21399,10904,59.748
21371,10872,77.318
22175,10566,-177.1
22131,10523,-58.25
24464,10907,-361.27
21145,10203,214.75
21402,10834,-277.08
21949,10568,184.74
21061,10189,73.144
21990,10563,114.04
22858,10852,-337.41
21822,10545,-299.08
20835,10075,-161.98
21272,10804,-303.16
21533,10858,212.84
21409,10447,-403.3
22518,10652,-72.136
22020,10521,-308.96
21041,10075,-8.8811
22429,11047,220.16
22334,11155,-283.98
23535,11075,-299.44
20890,10367,-124.71
21559,10964,-2.9579
20839,10123,-131.55
21258,10584,-348.86
21196,10795,-167.98
22828,10820,-425.42
21224,10781,-220.54
21912,10526,-291.33
21181,10249,238.8
21129,10648,-32.573
22609,11028,-430.4
21086,10596,-352.68
21471,10785,-324.65
21076,10543,-394.01
22619,10698,101.71
24289,11068,-321.63
21177,10485,-339.7
22775,10809,219.03
22280,10585,78.156
21799,10463,-176.65
24719,10929,-296.92
21795,10852,8.1895
21647,10523,-241.73
22543,10860,-377.87
22561,10849,-423.45
22152,10746,-333.04
22162,10790,-391.29
22150,10787,-399.15
22458,11175,-203.5
25462,10608,-340.45
22402,11241,-96.103
21349,10731,-321.43
21237,10759,-211.79
22728,10778,227.95
22733,10782,246.16
22707,10778,220.22
23083,11054,-301.32
21173,10248,113.7
22852,10744,52.475
24708,10916,-305.91
21736,10771,305.02
22729,10785,192.74
21961,11046,-212.03
21455,10920,-109.56
